Dataset,Target,Condition,Run,Model,RMSE,PICP80_%,n_windows
anomaly_free,Accelerometer1RMS,CBM 400,9,TiRex,0.0018867662746500703,78.78995433789954,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,0,Chronos-2,0.0018051964041710892,75.84474885844749,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,0,TimesFM-2.5,0.0018199235190828444,78.63013698630137,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,0,TiRex,0.0018358876529634704,80.27397260273973,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,1,Chronos-2,0.001794547551739274,76.32420091324201,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,1,TimesFM-2.5,0.001821348441909273,78.85844748858447,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,1,TiRex,0.0018294400679343694,80.15981735159818,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,2,Chronos-2,0.0018069503981098145,75.82191780821917,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,2,TimesFM-2.5,0.0018316946106284443,78.85844748858447,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,2,TiRex,0.0018404463450862093,79.72602739726027,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,3,Chronos-2,0.0017947815003562578,76.23287671232876,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,3,TimesFM-2.5,0.0018260208439971617,78.58447488584474,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,3,TiRex,0.0018351285909882621,80.22831050228311,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,4,Chronos-2,0.0017830941889739177,76.39269406392694,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,4,TimesFM-2.5,0.0018174986885432676,79.31506849315069,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,4,TiRex,0.0018395478539507207,80.15981735159818,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,5,Chronos-2,0.0017995009612279283,76.27853881278538,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,5,TimesFM-2.5,0.0018250793664561823,78.81278538812785,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,5,TiRex,0.0018373520400302675,79.88584474885845,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,6,Chronos-2,0.0017980304004601001,75.98173515981735,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,6,TimesFM-2.5,0.0018254688319821867,78.88127853881278,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,6,TiRex,0.0018429376276389397,79.93150684931507,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,7,Chronos-2,0.0018184778936593054,76.68949771689498,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,7,TimesFM-2.5,0.0018434364973276625,79.01826484018265,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,7,TiRex,0.0018634547577821867,80.54794520547945,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,8,Chronos-2,0.001798103024375651,76.64383561643837,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,8,TimesFM-2.5,0.0018299236409590096,78.35616438356165,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,8,TiRex,0.0018384171482332505,80.31963470319636,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,9,Chronos-2,0.0017834616217419518,77.35159817351598,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,9,TimesFM-2.5,0.0018068796774783162,79.74885844748857,73
anomaly_free,Accelerometer1RMS,PAI +2σ at 1%,9,TiRex,0.001816961332871931,80.57077625570777,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,0,Chronos-2,0.0017827478912725882,77.00913242009132,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,0,TimesFM-2.5,0.001841132405350608,80.6164383561644,73
